Identifiant_Station,Bornettes_Libres,Total_Velos_Dispo,Velos_Mecaniques,Velos_Electriques
20134,12,8,2,6
22016,18,5,1,4
32302,11,9,0,9
10014,24,29,25,4
42010,11,42,34,8
16040,0,32,29,3
22006,24,3,1,2
21301,8,25,13,12
19029,15,4,1,3
19016,14,15,6,9
32026,7,19,12,7
9005,30,1,0,1
1013,54,6,2,4
7102,43,2,0,2
42504,6,24,6,18
20111,15,5,2,3
19008,4,22,14,8
18201,17,15,2,13
92008,22,15,11,4
41402,0,25,19,6
51004,12,18,6,12
18012,5,31,10,21
12009,6,10,7,3
19125,23,6,1,5
11036,13,39,34,5
9021,20,2,2,0
23009,30,17,10,7
12027,0,12,8,4
42029,8,20,7,13
8035,30,5,2,3
21313,1,22,21,1
17102,8,17,12,5
28001,8,21,14,7
26007,10,10,0,10
15025,9,37,32,5
19005,7,13,5,8
10113,30,12,10,2
17045,44,2,1,1
43402,0,39,32,7
33018,5,24,6,18
7015,41,1,1,0
32303,0,0,0,0
6013,11,17,17,0
12115,25,8,7,1
5021,39,0,0,0
16121,27,4,0,4
15010,23,34,33,1
41102,34,9,2,7
17037,7,12,8,4
33003,19,27,15,12
22505,2,20,10,10
14034,12,11,7,4
32010,35,5,2,3
25008,14,4,0,4
7009,66,4,1,3
42707,9,14,5,9
35009,4,17,4,13
8055,27,4,0,4
21109,1,25,15,10
23701,15,8,3,5
31012,17,7,2,5
16129,41,0,0,0
35019,3,19,2,17
14104,9,14,4,10
20113,20,1,0,1
20119,18,7,1,6
23802,20,2,0,2
12126,17,34,20,14
20036,19,13,1,12
19019,8,10,3,7
41604,23,7,3,4
15029,5,45,43,2
17018,13,5,2,3
18005,16,2,1,1
26001,0,22,17,5
92004,15,5,2,3
43006,19,9,8,1
15028,21,49,43,6
8102,21,4,1,3
14018,40,5,5,0
31702,16,2,0,2
7004,17,0,0,0
42503,18,13,4,9
2010,26,1,0,1
5116,24,27,27,0
7006,30,2,1,1
8012,37,7,3,4
20040,21,5,3,2
17017,22,10,2,8
13026,22,13,4,9
23002,47,0,0,0
13102,47,4,4,0
14130,22,8,3,5
21308,42,16,13,3
12032,13,23,21,2
6103,50,4,2,2
20021,24,14,4,10
6018,15,3,2,1
21105,9,15,12,3
32014,29,5,2,3
18032,47,7,2,5
17124,21,5,5,0
44012,12,7,2,5
31016,19,17,10,7
22101,14,16,13,3
13016,30,4,4,0
8051,10,1,0,1
9115,18,3,2,1
16032,9,10,8,2
21003,0,39,22,17
22001,9,13,10,3
20027,13,2,0,2
14122,15,4,2,2
15108,0,22,18,4
19040,33,7,1,6
17047,20,4,4,0
17046,18,6,5,1
17121,7,13,6,7
18109,13,33,15,18
19038,18,1,0,1
35017,2,13,4,9
20118,10,14,5,9
9117,26,3,2,1
20023,4,10,0,10
14002,32,14,13,1
15035,16,25,23,2
